name,rating,createdAt,address1,address2,address3,postCode,latitude,longitude
Highlands Care Home,5,28/05/2024,La Rue Du Froid Vent,St Saviour,St. Saviour,JE2 7LJ,49.192936,-2.089218
Donnas Cake Decorating Supplies,5,14/02/2024,56-58 Central Market,Halkett Place,Jersey,JE2 4WL,49.21849,-2.14198
Shuga Coffee,3,22/07/2024,Eaton House,Seaton Place,Jersey,JE2 3QY,39.119433,-90.327488
Next,5,02/06/2022,46 - 49,King Street,Jersey,JE4 8NN,43.865135,-85.37849
The Sheep Shed,5,14/03/2024,,,,,,
Donut Worry Be Happy,5,03/11/2022,,,,,,
Lady LaLa Ice Cream Bicycle,4,08/04/2025,,,,,,
The Boundary,4,10/01/2024,Grainville Pavillion,Grainville Playing Fields,St. Saviour,JE2 7LG,49.194897,-2.090318
Rouge Bouillon Primary School,5,19/06/2025,Brighton Road,St. Helier,,,49.192407,-2.106488
Fieldview,5,11/03/2024,La Grande Route de St. Martin,St. Saviour,,JE2 7GS,49.199905,-2.078274
Fuel 2 Go Limited,4,26/02/2024,,,,,,
St. Peter's Garden Centre,5,12/03/2024,St. Peters Garden Centre,L'Avenue de la Reine Elizabeth II,St. Peter,JE3 7BP,49.206594,-2.187314
Nana's Bakes,5,02/02/2024,,,,,,
United Club,4,23/07/2024,Church Street,St. Helier,,JE2 3NN,49.183659,-2.106247
Homefields Farm Shop,5,30/05/2022,La Grande Route de St. Clément,St. Clement,,JE2 6QQ,49.173637,-2.056212
Le Hocq Bar & Restaurant,4,31/10/2023,La Grande Route de la Côte,St. Clement,,JE2 6FP,49.167532,-2.063859
Hotel Ambassadeur,4,29/03/2023,La Grande Route de la Côte,St. Clement,,JE2 6SB,49.167532,-2.063859
"Isabella's Restaurant, Union Inn",4,09/04/2025,The Union Inn,La Grande Route De St. Jean,Jersey,JE2 3FL,49.246555,-2.134973
Pontac House hotel,4,10/09/2024,La Grande Route de la Côte,St. Clement,,JE2 6SE,49.167532,-2.063859
Mont a l'Abbe School,5,13/05/2025,La Grande Route De St. Jean,St. Helier,,JE2 3FN,49.239622,-2.111377
Hotel Chocolat,5,18/06/2024,26 Queen Street,,St. Helier,JE2 4WD,49.183901,-2.103631
Thalatta Guest House,3,31/07/2024,29-31 Cleveland Road,St. Helier,,JE2 4PB,49.17898,-2.099738
Rozel Camp Park,5,18/08/2022,La Grande Route de Rozel,St. Martin,,JE3 6AX,49.217728,-2.051631
Alliance Club,4,31/05/2025,8 Bond Street,St. Helier,,JE2 3NP,49.18371,-2.10736
The Bouncing Brew,3,19/06/2023,,,,,,
Roberts Garage - Springfield,4,01/07/2024,Roberts,Springfield Road,Jersey,JE2 4LE,40.701952,-74.320072
Rouge Bouillon School (Ace of Clubs),3,24/04/2023,Rouge Bouillon School & Nursery,Brighton Road,Jersey,JE2 3YN,38.991504,-90.21674
